GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
404,1.8,SWBD,-108.8296565,42.95430339,WGS84,12890839
405,25.1,SWBD,-115.8872117,42.94820579,WGS84,23276696
406,1.4,SWBD,-117.228371,42.89999491,WGS84,23360175
407,19.6,SWBD,-109.8038763,42.95285537,WGS84,18331882
408,2.6,SWBD,-114.9310867,42.79578746,WGS84,24490790
409,6.8,SWBD,-109.6642962,42.8462161,WGS84,18332136
410,2,SWBD,-109.0234576,42.78196872,WGS84,12881858
411,199.3,SWBD,-112.7430597,42.92626421,WGS84,24558047
412,1.4,SWBD,-105.6110704,42.70619256,WGS84,22108699
413,30.5,SWBD,-113.3916457,42.66911206,WGS84,23162809
414,4.1,SWBD,-111.6531631,42.65064129,WGS84,4469005
415,8.1,SWBD,-106.7477296,42.53036194,WGS84,22107811
416,75.1,SWBD,-106.9255781,42.42189483,WGS84,15976282
417,28.7,SWBD,-119.8522286,42.40242336,WGS84,24043063
418,1.4,SWBD,-111.7302074,42.29094426,WGS84,4561018
419,6.7,SWBD,-109.4330577,42.26976626,WGS84,18303132
420,3.1,SWBD,-109.3672201,42.22598931,WGS84,18303156
421,57.2,SWBD,-106.843604,42.04573737,WGS84,15976436
422,1,SWBD,-119.8187743,42.12593383,WGS84,24043435
423,31.3,SWBD,-110.1239681,42.08053014,WGS84,18355209
424,1.4,SWBD,-105.0365123,41.99891165,WGS84,17482561
425,4.7,SWBD,-110.6632978,41.98651793,WGS84,3194448
426,13.1,SWBD,-105.7136144,41.87741971,WGS84,17485305
427,10,SWBD,-111.9601923,41.79477395,WGS84,4564522
428,22.6,SWBD,-105.6077109,41.85337156,WGS84,17485383
429,1.4,SWBD,-109.8698115,41.73883363,WGS84,NA
430,10,SWBD,-115.8065171,41.66511186,WGS84,23320160
431,1.5,SWBD,-111.8593287,41.61952189,WGS84,666226
432,0.5,SWBD,-111.7374284,41.51882983,WGS84,666230
433,8.7,SWBD,-111.0168199,41.47417891,WGS84,7884392
434,2.3,SWBD,-105.8945294,41.47247302,WGS84,940180075
435,0.9,SWBD,-115.8993438,41.40196408,WGS84,10762201
436,3.1,SWBD,-117.1766716,41.41339796,WGS84,11139144
437,39.4,SWBD,-112.0891917,41.37810761,WGS84,10272620
438,9.7,SWBD,-111.8001765,41.26816109,WGS84,10275986
439,7.8,SWBD,-105.9276072,41.24290245,WGS84,17496009
440,0.6,SWBD,-117.2227083,41.2382589,WGS84,11199040
441,2.7,SWBD,-106.2562441,41.20652898,WGS84,15985399
442,1.1,SWBD,-111.388631,41.19282012,WGS84,10090800
443,1.8,SWBD,-110.8229433,41.15155024,WGS84,7885926
444,2,SWBD,-106.8753822,41.03294267,WGS84,15985481
445,1.5,SWBD,-110.582626,41.01458786,WGS84,3197116
446,2.1,McGill,-116.3581501,41.00444792,WGS84,11200438
447,0.5,SWBD,-116.3445036,40.98486718,WGS84,11205386
448,0.7,SWBD,-110.3909473,40.98173203,WGS84,3199106
449,4.8,SWBD,-111.4104108,40.94772684,WGS84,10093140
450,2.1,SWBD,-111.5900913,40.9088817,WGS84,10277322
452,0.7,SWBD,-109.8664103,40.90749603,WGS84,10039192
453,0.5,SWBD,-112.7066835,40.91016929,WGS84,946020031
454,1.9,SWBD,-105.028881,40.85454526,WGS84,2898315
455,4,SWBD,-106.9644491,40.79618268,WGS84,1354438
456,3.5,SWBD,-111.3958902,40.77233531,WGS84,10093180
457,0.7,SWBD,-111.6949307,40.77290987,WGS84,10389394
458,0.6,SWBD,-111.1033102,40.75668404,WGS84,10093200
459,1.2,SWBD,-116.1992999,40.7532436,WGS84,10782608
460,1.8,SWBD,-105.0818674,40.70191605,WGS84,2900879
461,6.3,SWBD,-115.76205589999999,40.67104638,WGS84,10751217
462,1.5,SWBD,-105.0373929,40.68139837,WGS84,2900119
463,1.2,SWBD,-105.0502263,40.66039462,WGS84,2900119
464,7.4,SWBD,-118.2778547,40.65213894,WGS84,11153143
465,1.9,SWBD,-105.0794398,40.62741385,WGS84,2899859
466,1,SWBD,-105.8529932,40.60448517,WGS84,2900899
467,10.6,SWBD,-111.4095727,40.6186786,WGS84,10374260
468,6.4,SWBD,-105.1590967,40.55784099,WGS84,2900943
469,1.4,SWBD,-109.4292813,40.57860964,WGS84,1392835
470,0.5,SWBD,-110.7002743,40.56503257,WGS84,11976149
